n02930766, cab
n03770679, minivan
n03670208, limousine
n03100240, convertible
n04285008, sports_car
n03769881, minibus
n04065272, recreational_vehicle
n02814533, beach_wagon
n02701002, ambulance
n03977966, police_van
n04461696, tow_truck
n04146614, school bus
n03796401, moving_van
n03417042, garbage_truck
n03345487, fire_engine
n03777568, Model_T
n03895866, passenger_car
n03930630, pickup
n03791053, motor_scooter
n03785016, moped
n03208938, disk_brake
n03127747, crash_helmet
n03792782, mountain_bike
n02835271, bicycle-built-for-two
n04509417, unicycle
n04482393, tricycle
